City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
211,Shimoda,JP,34.6667,138.95,60.1,92,100,20.18,light rain
212,Faya,SA,18.3851,42.4509,77.11,25,4,2.95,clear sky
213,Port Lincoln,AU,-34.7333,135.8667,58.48,82,27,18.45,scattered clouds
214,Yonezawa,JP,37.9167,140.1167,54.12,89,100,2.89,light rain
215,Korhogo,CI,9.45,-5.6333,81.66,58,100,3.8,overcast clouds
216,Port Hardy,CA,50.6996,-127.4199,57.38,77,40,8.05,scattered clouds
217,Majene,ID,-3.5403,118.9707,76.71,90,93,6.2,light rain
218,Beloha,MG,-25.1667,45.05,65.68,75,30,7.11,scattered clouds
219,Balikpapan,ID,-1.2675,116.8289,76.19,100,40,4.61,scattered clouds
220,Vila Do Maio,CV,15.1333,-23.2167,75.99,85,77,16.49,broken clouds
221,Manggar,ID,-2.8833,108.2667,81.39,79,62,8.3,broken clouds
222,Prince Rupert,CA,54.3161,-130.3201,56.89,81,0,10.36,clear sky
223,Camalu,MX,30.85,-116.0667,69.89,62,0,10.76,clear sky
224,Mount Gambier,AU,-37.8333,140.7667,49.91,93,100,13.8,overcast clouds
225,Scottsbluff,US,41.8666,-103.6672,74.55,19,20,26.46,few clouds
226,Petatlan,MX,17.5167,-101.2667,87.6,62,100,4.12,overcast clouds
227,Hadishahr,AZ,38.8431,45.6635,64.89,50,63,4.9,broken clouds
228,Praia,CV,14.9215,-23.5087,75.74,78,75,16.11,broken clouds
229,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,63.21,49,0,6.71,clear sky
230,Siloam Springs,US,36.1881,-94.5405,92.01,50,0,16.11,clear sky
231,Onega,RU,63.9061,38.1404,56.41,72,89,6.85,overcast clouds
232,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,50.59,82,75,6.71,broken clouds
233,Sechura,PE,-5.5569,-80.8222,73.83,58,12,15.79,few clouds
234,Komsomolskiy,UZ,40.4272,71.7189,78.75,37,81,4.5,broken clouds
235,Kamienna Gora,PL,50.7831,16.0304,53.24,83,35,2.64,scattered clouds
236,Kaka,TM,37.3482,59.6143,87.96,31,95,3.24,overcast clouds
237,Raga,SS,8.4596,25.678,74.01,73,99,4.25,overcast clouds
238,Narsaq,GL,60.9167,-46.05,52.02,46,99,9.73,overcast clouds
239,Methoni,GR,36.8197,21.7049,76.21,77,18,8.84,few clouds
240,Kudymkar,RU,59.0173,54.656,58.32,82,100,4.5,overcast clouds
