City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
46,Dembi Dolo,97,ET,2022-06-13 21:44:31,91,8.5333,34.8,57.06,3.91
47,Georgetown,20,MY,2022-06-13 21:44:31,93,5.4112,100.3354,80.53,0.0
48,Austin,0,US,2022-06-13 21:43:02,32,30.2672,-97.7431,103.19,17.27
49,Dajal,12,PK,2022-06-13 21:44:32,33,29.5577,70.3762,94.71,19.44
50,Hermanus,100,ZA,2022-06-13 21:44:32,73,-34.4187,19.2345,52.81,16.04
51,Longyearbyen,75,SJ,2022-06-13 21:44:33,65,78.2186,15.6401,40.84,3.44
52,Rio Grande,65,BR,2022-06-13 21:44:33,93,-32.035,-52.0986,57.94,3.87
53,Busselton,94,AU,2022-06-13 21:44:15,69,-33.65,115.3333,58.75,5.84
54,Thompson,75,CA,2022-06-13 21:44:33,27,55.7435,-97.8558,77.16,6.91
55,Harper,53,LR,2022-06-13 21:44:34,69,4.375,-7.7169,77.63,5.68
56,Saskylakh,100,RU,2022-06-13 21:44:34,41,71.9167,114.0833,64.26,1.72
57,Yellowknife,75,CA,2022-06-13 21:41:13,55,62.456,-114.3525,66.72,5.75
58,Nantucket,20,US,2022-06-13 21:44:35,87,41.2835,-70.0995,77.11,13.8
59,Livanatai,3,GR,2022-06-13 21:44:36,54,38.7167,23.05,76.64,4.85
60,Rikitea,46,PF,2022-06-13 21:44:15,64,-23.1203,-134.9692,73.13,7.18
61,Mahebourg,75,MU,2022-06-13 21:44:36,64,-20.4081,57.7,73.69,18.41
62,Bengkulu,73,ID,2022-06-13 21:44:36,84,-3.8004,102.2655,75.61,3.09
63,Port-Cartier,75,CA,2022-06-13 21:44:37,88,50.0334,-66.8654,61.02,13.2
64,Bambous Virieux,75,MU,2022-06-13 21:44:37,64,-20.3428,57.7575,73.65,18.41
65,Vegreville,92,CA,2022-06-13 21:43:12,29,53.5001,-112.0518,75.25,14.97
66,Aklavik,89,CA,2022-06-13 21:44:38,42,68.2191,-135.0107,57.22,9.66
67,Ferme-Neuve,69,CA,2022-06-13 21:44:38,62,46.7001,-75.4493,64.76,8.05
68,Bahia Blanca,100,AR,2022-06-13 21:40:14,40,-38.7196,-62.2724,58.77,10.49
69,Urdoma,100,RU,2022-06-13 21:44:39,73,61.7533,48.5442,52.59,4.41
70,Tambopata,0,PE,2022-06-13 21:44:39,31,-12.7333,-69.1833,76.89,2.3
71,Merrill,75,US,2022-06-13 21:44:40,95,45.1805,-89.6835,65.8,6.91
72,Bilma,0,NE,2022-06-13 21:44:40,13,18.6853,12.9164,93.72,9.71
73,Tilichiki,63,RU,2022-06-13 21:44:40,54,60.4667,166.1,52.54,8.41
74,Chokurdakh,0,RU,2022-06-13 21:44:41,32,70.6333,147.9167,67.95,17.43
75,Ranfurly,77,NZ,2022-06-13 21:44:41,68,-45.1333,170.1,46.11,26.44
