City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
522,Umm Lajj,SA,83.79,clear sky,25.0213,37.2685,Moon light Furnished Units
524,San Policarpo,PH,80.01,overcast clouds,12.1791,125.5072,Agapita M. Nicart
525,Jacareacanga,BR,76.96,scattered clouds,-6.2222,-57.7528,Casa do Ian😎
526,Turbat,PK,84.25,clear sky,26.0023,63.044,Mubashar Quarters
530,Pitimbu,BR,77.59,clear sky,-7.4706,-34.8086,Reserva do Abiaí
533,Bahia Honda,CU,86.38,broken clouds,22.9036,-83.1592,Casa Gualberto - Deysi
551,Oistins,BB,82.49,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
554,Kavieng,PG,82.35,broken clouds,-2.5744,150.7967,Nusa Island Retreat
558,Alta Floresta,BR,78.98,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
566,Clemencia,CO,81.77,overcast clouds,10.5665,-75.325,Casa de Miguel Ángel Vasquez
571,Eyl,SO,79.54,scattered clouds,7.9803,49.8164,Amiin Hotel
573,Riberalta,BO,82.6,clear sky,-10.9833,-66.1,Hotel Colonial
575,Ingham,US,86.16,scattered clouds,42.6,-84.3833,Sunset Mobile Home Park
580,Banjar,ID,76.08,scattered clouds,-8.19,114.9675,The Hamsa Resort
585,Malanville,BJ,88.52,light rain,11.8685,3.3899,Hotel Sejour du Sahel
587,Tolu,CO,78.75,overcast clouds,9.5239,-75.5814,Hotel Montecarlo
598,Mandali,IQ,89.11,clear sky,33.7499,45.5541,قرئ الشيخ سحاب الندا
601,Conceicao Do Araguaia,BR,76.57,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
603,Puerto Madero,MX,79.0,overcast clouds,14.7208,-92.4215,DEPARTAMENTOS LA ESTANCIA
605,Eydhafushi,MV,82.63,scattered clouds,5.1033,73.0708,Soneva Fushi
609,Jeremie,HT,82.45,overcast clouds,18.65,-74.1167,Auberge’Inn
610,Gizo,SB,82.56,light rain,-8.103,156.8419,Imagination Island
617,Salumbar,IN,83.19,scattered clouds,24.1333,74.05,chatra chaya guest house
618,Pizarro,CO,77.4,light rain,4.9533,-77.366,Hotel Limonar
619,El Dorado,US,81.18,clear sky,38.7666,-120.5177,South Fork Group Campground
620,Vinh Long,VN,76.98,broken clouds,10.25,105.9667,Phuong Thao Homestay
621,Trinidad,BO,80.58,clear sky,-14.8333,-64.9,Hotel Piesta
631,Vilhena,BR,82.62,clear sky,-12.7406,-60.1458,Hotel Mirage
637,Ladario,BR,89.69,few clouds,-19.0047,-57.6017,Hotel Fazenda 4 cantos
642,Farmington,US,87.15,clear sky,36.7281,-108.2187,Courtyard by Marriott Farmington
646,Matay,EG,84.15,clear sky,28.419,30.7792,Nag Aespen
647,Sabzevar,IR,83.48,few clouds,36.2126,57.6819,پزشکی قانونی سبزوار
649,Nisia Floresta,BR,80.98,clear sky,-6.0911,-35.2086,Rancho Crepusculo
650,Makakilo City,US,79.68,light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
652,Dahanu,IN,83.08,broken clouds,19.9667,72.7333,Pearline Beach Villas
662,Shache,CN,78.71,broken clouds,38.4167,77.2406,Delong Hotel
